policy,dim,slice,n,mean_r,median_r,win_rate,worst,max_consec_losers,sd,ci_lo,ci_hi,trading_days,trades_per_year,ann_dollars,thin,retired
flat_1r,symbol|month,CRM|2026-04,3,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,3,252.000,252000.00,1,0
flat_1r,symbol|month,CRM|2026-05,4,-0.644817,-1.164634,0.250000,-1.250000,3,0.952190,-1.577963,0.288329,4,252.000,-162493.90,1,0
flat_1r,symbol|month,CRM|2026-06,4,-0.682264,-1.239527,0.250000,-1.250000,2,0.971293,-1.634131,0.269604,3,336.000,-229240.54,1,0
flat_1r,symbol|month,CRM|2026-07,5,-0.325038,-1.125192,0.400000,-1.250000,2,1.082849,-1.274197,0.624120,4,315.000,-102387.12,1,0
flat_1r,symbol|month,CRM|2026-08,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,GOOGL|2025-08,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,GOOGL|2025-09,2,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,2,252.000,252000.00,1,0
flat_1r,symbol|month,GOOGL|2025-10,1,-1.231481,-1.231481,0.000000,-1.231481,1,0.000000,-1.231481,-1.231481,1,252.000,-310333.33,1,0
flat_1r,symbol|month,GOOGL|2025-12,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,GOOGL|2026-01,2,-1.248016,-1.248016,0.000000,-1.250000,2,0.001984,-1.250766,-1.245266,2,252.000,-314500.00,1,0
flat_1r,symbol|month,GOOGL|2026-02,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,GOOGL|2026-03,2,-0.065359,-0.065359,0.500000,-1.130719,1,1.065359,-1.541872,1.411153,2,252.000,-16470.59,1,0
flat_1r,symbol|month,GOOGL|2026-04,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,GOOGL|2026-05,4,-0.125000,-0.125000,0.500000,-1.250000,2,1.125000,-1.227500,0.977500,4,252.000,-31500.00,1,0
flat_1r,symbol|month,GOOGL|2026-06,2,-0.080508,-0.080508,0.500000,-1.161017,1,1.080508,-1.578017,1.417000,2,252.000,-20288.14,1,0
flat_1r,symbol|month,GOOGL|2026-07,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,GOOGL|2026-08,2,-1.225000,-1.225000,0.000000,-1.250000,2,0.025000,-1.259648,-1.190352,2,252.000,-308700.00,1,0
flat_1r,symbol|month,HOOD|2025-08,3,-0.500000,-1.250000,0.333333,-1.250000,1,1.060660,-1.700250,0.700250,3,252.000,-126000.00,1,0
flat_1r,symbol|month,HOOD|2025-09,5,-0.323333,-1.116667,0.400000,-1.250000,2,1.081593,-1.271392,0.624725,5,252.000,-81480.00,1,0
flat_1r,symbol|month,HOOD|2025-10,5,0.100000,1.000000,0.600000,-1.250000,1,1.102270,-0.866183,1.066183,4,315.000,31500.00,1,0
